material_id,material_name,formula,material_family,material_subfamily,family,source_dataset,source_type,source_trust_score,used_for_ml_training,model_registry_eligible,application_subsystem,recommendation_basis,engineer_reviewed,shear_modulus_gpa,notes
matbench_log_gvrh_00000,matbench_log_gvrh_0,matbench_log_gvrh_0,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,28.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00001,matbench_log_gvrh_1,matbench_log_gvrh_1,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,33.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00002,matbench_log_gvrh_2,matbench_log_gvrh_2,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,55.00000000000001,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00003,matbench_log_gvrh_3,matbench_log_gvrh_3,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,50.999999999999986,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00004,matbench_log_gvrh_4,matbench_log_gvrh_4,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,39.99999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00005,matbench_log_gvrh_5,matbench_log_gvrh_5,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,70.00000000000001,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00006,matbench_log_gvrh_6,matbench_log_gvrh_6,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,30.999999999999996,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00007,matbench_log_gvrh_7,matbench_log_gvrh_7,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,20.000000000000004,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00008,matbench_log_gvrh_8,matbench_log_gvrh_8,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,105.00000000000004,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00009,matbench_log_gvrh_9,matbench_log_gvrh_9,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,47.99999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00010,matbench_log_gvrh_10,matbench_log_gvrh_10,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,59.00000000000001,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
