material_id,material_name,formula,material_family,material_subfamily,family,source_dataset,source_type,source_trust_score,used_for_ml_training,model_registry_eligible,application_subsystem,recommendation_basis,engineer_reviewed,formation_energy_per_atom,notes
matbench_mp_e_form_00000,matbench_mp_e_form_0,matbench_mp_e_form_0,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.9953836506249996,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00001,matbench_mp_e_form_1,matbench_mp_e_form_1,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.1030478831250004,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00002,matbench_mp_e_form_2,matbench_mp_e_form_2,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.9835657181250004,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00003,matbench_mp_e_form_3,matbench_mp_e_form_3,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.5288500038099997,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00004,matbench_mp_e_form_4,matbench_mp_e_form_4,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.235058755625,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00005,matbench_mp_e_form_5,matbench_mp_e_form_5,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.245312625625,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00006,matbench_mp_e_form_6,matbench_mp_e_form_6,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.2577964756249997,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00007,matbench_mp_e_form_7,matbench_mp_e_form_7,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.563910145625,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00008,matbench_mp_e_form_8,matbench_mp_e_form_8,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.5378644238100003,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00009,matbench_mp_e_form_9,matbench_mp_e_form_9,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.5329490188100006,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00010,matbench_mp_e_form_10,matbench_mp_e_form_10,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.0212696978425013,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00011,matbench_mp_e_form_11,matbench_mp_e_form_11,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.7946040403425005,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00012,matbench_mp_e_form_12,matbench_mp_e_form_12,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.6755006356249993,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00013,matbench_mp_e_form_13,matbench_mp_e_form_13,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.6055141085833333,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00014,matbench_mp_e_form_14,matbench_mp_e_form_14,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.596624090583333,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00015,matbench_mp_e_form_15,matbench_mp_e_form_15,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.56497783875,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00016,matbench_mp_e_form_16,matbench_mp_e_form_16,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.9421013800000004,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00017,matbench_mp_e_form_17,matbench_mp_e_form_17,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.8501968391666668,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00018,matbench_mp_e_form_18,matbench_mp_e_form_18,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.39533922381,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00019,matbench_mp_e_form_19,matbench_mp_e_form_19,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.315763816625,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00020,matbench_mp_e_form_20,matbench_mp_e_form_20,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.9806901121800005,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00021,matbench_mp_e_form_21,matbench_mp_e_form_21,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.9543089287500002,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00022,matbench_mp_e_form_22,matbench_mp_e_form_22,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.8301866338100004,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00023,matbench_mp_e_form_23,matbench_mp_e_form_23,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.0692863038100002,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00024,matbench_mp_e_form_24,matbench_mp_e_form_24,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.67560344375,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00025,matbench_mp_e_form_25,matbench_mp_e_form_25,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.3657735381249996,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00026,matbench_mp_e_form_26,matbench_mp_e_form_26,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.0830231926666665,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00027,matbench_mp_e_form_27,matbench_mp_e_form_27,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.222233088563218,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00028,matbench_mp_e_form_28,matbench_mp_e_form_28,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.1898440214942525,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00029,matbench_mp_e_form_29,matbench_mp_e_form_29,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.4517666694650004,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00030,matbench_mp_e_form_30,matbench_mp_e_form_30,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.3160371891250002,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00031,matbench_mp_e_form_31,matbench_mp_e_form_31,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.3160994441250002,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00032,matbench_mp_e_form_32,matbench_mp_e_form_32,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.6143951603663789,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00033,matbench_mp_e_form_33,matbench_mp_e_form_33,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.6790399737500001,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00034,matbench_mp_e_form_34,matbench_mp_e_form_34,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.2542452384375,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00035,matbench_mp_e_form_35,matbench_mp_e_form_35,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.5343421790480007,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00036,matbench_mp_e_form_36,matbench_mp_e_form_36,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.8114241435833343,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00037,matbench_mp_e_form_37,matbench_mp_e_form_37,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,1.6628169615240012,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
matbench_mp_e_form_00038,matbench_mp_e_form_38,matbench_mp_e_form_38,Matbench material,matbench_mp_e_form,Matbench material,matbench_mp_e_form,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,2.363049625000001,Matbench reference row from matbench_mp_e_form; benchmark/reference screening.
